contractor_id,contractor_name,registration_address,bank_account,director_name,registration_year,is_cartel_seed,cartel_cluster
CTR0001,Gupta Infra Pvt Ltd,"Shared Complex 0, Industrial Area",HDFC00100000001,Vijay Yadav,2021,True,CLUSTER_0
CTR0002,Singh Projects Pvt Ltd,"Shared Complex 0, Industrial Area",HDFC00100000002,Vijay Yadav,2021,True,CLUSTER_0
CTR0003,Kumar Construction Pvt Ltd,"Shared Complex 0, Industrial Area",HDFC00100000003,Vijay Yadav,2022,True,CLUSTER_0
CTR0004,Joshi Infra Pvt Ltd,"Shared Complex 0, Industrial Area",HDFC00100000004,Vijay Yadav,2023,True,CLUSTER_0
CTR0005,Mishra Infra Pvt Ltd,"Shared Complex 1, Industrial Area",HDFC00101000005,Anita Chauhan,2023,True,CLUSTER_1
CTR0006,Menon Projects Pvt Ltd,"Shared Complex 1, Industrial Area",HDFC00101000006,Anita Chauhan,2020,True,CLUSTER_1
CTR0007,Chauhan Construction Pvt Ltd,"Shared Complex 1, Industrial Area",HDFC00101000007,Anita Chauhan,2018,True,CLUSTER_1
CTR0008,Nair Enterprises Pvt Ltd,"Shared Complex 1, Industrial Area",HDFC00101000008,Anita Chauhan,2019,True,CLUSTER_1
CTR0009,Yadav Infra Pvt Ltd,"Shared Complex 2, Industrial Area",HDFC00102000009,Suresh Joshi,2023,True,CLUSTER_2
CTR0010,Menon Construction Pvt Ltd,"Shared Complex 2, Industrial Area",HDFC00102000010,Suresh Joshi,2022,True,CLUSTER_2
CTR0011,Chauhan Builders Pvt Ltd,"Shared Complex 2, Industrial Area",HDFC00102000011,Suresh Joshi,2022,True,CLUSTER_2
CTR0012,Menon Infra Pvt Ltd,"Shared Complex 2, Industrial Area",HDFC00102000012,Suresh Joshi,2023,True,CLUSTER_2
CTR0013,Nair Projects Pvt Ltd,"Shared Complex 3, Industrial Area",HDFC00103000013,Priya Patel,2022,True,CLUSTER_3
CTR0014,Reddy Builders Pvt Ltd,"Shared Complex 3, Industrial Area",HDFC00103000014,Priya Patel,2020,True,CLUSTER_3
CTR0015,Chauhan Builders Pvt Ltd,"Shared Complex 3, Industrial Area",HDFC00103000015,Priya Patel,2022,True,CLUSTER_3
CTR0016,Chauhan Projects Pvt Ltd,"Shared Complex 3, Industrial Area",HDFC00103000016,Priya Patel,2018,True,CLUSTER_3
CTR0017,Gupta Construction Pvt Ltd,"Shared Complex 4, Industrial Area",HDFC00104000017,Naresh Patel,2021,True,CLUSTER_4
